अंस (अंस्)	 । चु॰	 सेट्	 उ॰ । 	अं॑सँ॑ 		समाघाते 	१०।	०४६० ॥
भल्ल्	 । भ्वा॰	 सेट्	 आ॰ । 	भ॑ल्लँ॒ 		परिभाषणहिंसादानेषु 	०१।	०५६९ ॥
भष्	 । भ्वा॰	 सेट्	 प॰ । 	भ॑षँ॑ 		भर्त्सने 	०१।	०७९१ ॥
भस्	 । दि॰	 सेट्	 प॰ । 	भ॑सुँ॑ 		[स्तम्भे] इति केचित् 	०४।	०११३ ॥
भस्	 । जु॰	 सेट्	 प॰ । 	भ॑सँ॑ 		भर्त्सनदीप्त्योः 	०३।	००१९ ॥
भा	 । अ॰	 अनिट्	 प॰ । 	भा॒ 		दीप्तौ 	०२।	००४६ ॥
भाज (भाज्)	 । चु॰	 सेट्	 उ॰ । 	भा॑जँ॑ 		पृथक्कर्मणि 	१०।	०४२८ ॥
भाम (भाम्)	 । चु॰	 सेट्	 उ॰ । 	भा॑मँ॑ 		क्रोधे 	१०।	०४११ ॥
भाम्	 । भ्वा॰	 सेट्	 आ॰ । 	भा॑मँ॒ 		क्रोधे 	०१।	०५०९ ॥
भाष्	 । भ्वा॰	 सेट्	 आ॰ । 	भा॑षँ॒ 		व्यक्तायां वाचि 	०१।	०६९६ ॥
भास्	 । भ्वा॰	 सेट्	 आ॰ । 	भा॑सृँ॒ 		दीप्तौ 	०१।	०७११ ॥
भिक्ष्	 । भ्वा॰	 सेट्	 आ॰ । 	भि॑क्षँ॒ 		भिक्षायामलाभे लाभे च 	०१।	०६९० ॥
भिद्	 । रु॰	 अनिट्	 उ॰ । 	भि॒दिँ॒॑र् 		विदारणे 	०७।	०००२ ॥
भिद्	 । भ्वा॰	 सेट्	 आ॰ । 	ञिमि॑दाँ॒ 		स्नेहने 	०१।	०८४४ ॥
भिन्द्	 । भ्वा॰	 सेट्	 प॰ । 	भि॑दिँ॑ 		[अवयवे] इत्येके 	०१।	००६७ ॥
भी	 । जु॰	 अनिट्	 प॰ । 	ञिभी॒ 		भये 	०३।	०००२ ॥
भुज्	 । तु॰	 अनिट्	 प॰ । 	भु॒जोँ॑ 		कौटिल्ये 	०६।	०१५३ ॥
भुज्	 । रु॰	 अनिट्	 प॰ । 	भु॒जँ॑ 		पालनाभ्यवहारयोः 	०७।	००१७ ॥
भू	 । चु॰	 सेट्	 उ॰ । 	भू॑		अवकल्कने । मिश्रीकरण इत्येके । चिन्तन इत्यन्ये 	१०।	०३८२ ॥
भू	 । चु॰	 सेट्	 उ॰ । 	भू॑ 		प्राप्तौ 	१०।	०२७७ ॥
भू	 । भ्वा॰	 सेट्	 प॰ । 	भू॑ 		सत्तायाम् 	०१।	०००१ ॥
भूष्	 । भ्वा॰	 सेट्	 प॰ । 	भू॑षँ॑ 		[अलङ्कारे] 	०१।	०७७७ ॥
भूष्	 । चु॰	 सेट्	 उ॰ । 	भू॑षँ॑ 		अलङ्कारे 	१०।	०२५५ ॥
भृ	 । जु॰	 अनिट्	 उ॰ । 	डुभृ॒ञ् 		धारणपोषणयोः 	१०।	०३१८ ॥
भृ	 । भ्वा॰	 अनिट्	 उ॰ । 	भृ॒ञ् 		भरणे 	०४।	०१३७ ॥
भृंश्	 । चु॰	 सेट्	 उ॰ । 	भृ॑शिँ॑ 		[[भाषार्थः] च] 	०१।	१०४५ ॥
भृंश्	 । दि॰	 सेट्	 प॰ । 	भृं॑शुँ॑ 		[अधःपतने] 	०३।	०००६ ॥
भृज्	 । भ्वा॰	 सेट्	 आ॰ । 	भृ॑जीँ॒ 		भर्जने 	०१।	०२०२ ॥
भृड्	 । तु॰	 सेट्	 प॰ । 	भृ॑डँ॑ 		निमज्जने इत्येके 	०६।	०१२९ ॥
भृश्	 । दि॰	 सेट्	 प॰ । 	भृ॑शुँ॑ 		[अधःपतने] 	०४।	०१३६ ॥
भॄ	 । क्र्या॰	 सेट्	 प॰ । 	भॄ॑ 		भर्त्सने । भरनेऽप्येके 	०९।	००२४ ॥
भेष्	 । भ्वा॰	 सेट्	 उ॰ । 	भे॑षृँ॒॑ 		भये । गतावित्येके 	०१।	१०२६ ॥
भ्यस्	 । भ्वा॰	 सेट्	 आ॰ । 	भ्य॑सँ॒ 		भये 	०१।	०७१५ ॥
भ्रंश्	 । भ्वा॰	 सेट्	 आ॰ । 	भ्रं॑शुँ॑ 		[अवस्रंसने] इत्यपि केचित् 	०१।	०८६० ॥
भ्रंश्	 । दि॰	 सेट्	 प॰ । 	भ्रं॑शुँ॑ 		अधःपतने 	०४।	०१३८ ॥
भ्रंस्	 । भ्वा॰	 सेट्	 आ॰ । 	भ्रं॑सुँ॒ 		अवस्रंसने 	०१।	०८५९ ॥
भ्रक्ष्	 । भ्वा॰	 सेट्	 उ॰ । 	भ्र॑क्षँ॒॑ 		[अदने] 	०१।	१०३७ ॥
भ्रज्ज्	 । तु॰	 अनिट्	 उ॰ । 	भ्र॒स्जँ॒॑ 		पाके 	०६।	०००४ ॥
भ्रण्	 । भ्वा॰	 सेट्	 प॰ । 	भ्र॑णँ॑ 		[शब्दार्थः] 	०१।	०५२० ॥
भ्रम्	 । दि॰	 सेट्	 प॰ । 	भ्र॑मुँ॑ 		अनवस्थाने 	०४।	०१०२ ॥
भ्रम्	 । भ्वा॰	 सेट्	 प॰ । 	भ्र॑मुँ॑ 		चलने 	०१।	०९८५ ॥
भ्रस्ज्	 । तु॰	 अनिट्	 उ॰ । 	भ्र॒स्जँ॒॑ 		पाके 	०६।	०००४ ॥
भ्राज्	 । भ्वा॰	 सेट्	 आ॰ । 	टुभ्रा॑जृँ॒ 		[दीप्तौ] 	०१।	०२०५ ॥
भ्राज्	 । भ्वा॰	 सेट्	 आ॰ । 	भ्रा॑जृँ॒ 		दीप्तौ 	०१।	०९५७ ॥
भ्राश्	 । भ्वा॰	 सेट्	 आ॰ । 	टुभ्रा॑शृँ॒ 		[दीप्तौ] 	०१।	०९५८ ॥
भ्री	 । क्र्या॰	 अनिट्	 प॰ । 	भ्री॒ 		भये । भरण इत्येके 	०९।	००४१ ॥
भ्रूण्	 । चु॰	 सेट्	 आ॰ । 	भ्रू॑णँ॒ 		आशाविशङ्कयोः (आशायाम्) 	१०।	०२१३ ॥
भ्रेज्	 । भ्वा॰	 सेट्	 आ॰ । 	भ्रे॑जृँ॒ 		[दीप्तौ] 	०१।	०२०४ ॥
भ्रेष्	 । भ्वा॰	 सेट्	 उ॰ । 	भ्रे॑षृँ॒॑ 		[गतौ] 	०१।	१०२७ ॥
भ्लक्ष्	 । भ्वा॰	 सेट्	 उ॰ । 	भ्ल॑क्षँ॒॑ 		अदने 	०१।	१०३८ ॥
भ्लाश्	 । भ्वा॰	 सेट्	 आ॰ । 	टुभ्ला॑शृँ॒ 		दीप्तौ 	०१।	०९५९ ॥
भ्लेष्	 । भ्वा॰	 सेट्	 उ॰ । 	भ्ले॑षृँ॒॑ 		गतौ 	०१।	१०२८ ॥
मंह्	 । चु॰	 सेट्	 उ॰ । 	म॑हिँ॑ 		[भाषार्थः] च 	१०।	०३३० ॥
मंह्	 । भ्वा॰	 सेट्	 आ॰ । 	म॑हिँ॒ 		वृद्धौ 	०१।	०७२१ ॥
मख्	 । भ्वा॰	 सेट्	 प॰ । 	म॑खँ॑ 		[गत्यर्थः] 	०१।	०१४० ॥
मङ्क्	 । भ्वा॰	 सेट्	 आ॰ । 	म॑किँ॒ 		मण्डने 	०१।	००९४ ॥
मङ्ख्	 । भ्वा॰	 सेट्	 प॰ । 	म॑खिँ॑ 		[गत्यर्थः] 	०१।	०१४१ ॥
मङ्ग्	 । भ्वा॰	 सेट्	 प॰ । 	म॑गिँ॑ 		[गत्यर्थः] 	०१।	०१५७ ॥
मङ्घ्	 । भ्वा॰	 सेट्	 आ॰ । 	म॑घिँ॒ 		गत्याक्षेपे । गतौ गत्यारम्भे चेत्यपरे । मघिँ कैतवे च 	०१।	०११७ ॥
मङ्घ्	 । भ्वा॰	 सेट्	 प॰ । 	म॑घिँ॑ 		मण्डने 	०१।	०१८३ ॥
मच्	 । भ्वा॰	 सेट्	 आ॰ । 	म॑चँ॒ 		[कल्कने । कथन इत्यन्ये] 	०१।	०१९५ ॥
मज्ज्	 । तु॰	 अनिट्	 प॰ । 	टुम॒स्जोँ॑ 		शुद्धौ 	०६।	०१५१ ॥
मञ्च्	 । भ्वा॰	 सेट्	 आ॰ । 	म॑चिँ॒ 		धारणोच्छ्रायपूजनेषु 	०१।	०१९७ ॥
मठ्	 । भ्वा॰	 सेट्	 प॰ । 	म॑ठँ॑ 		मदनिवासयोः 	०१।	०३८४ ॥
मण्	 । भ्वा॰	 सेट्	 प॰ । 	म॑णँ॑ 		[शब्दार्थः] 	०१।	०५१६ ॥
मण्ठ्	 । भ्वा॰	 सेट्	 आ॰ । 	म॑ठिँ॒ 		[शोके] 	०१।	०२९६ ॥
मण्ड्	 । भ्वा॰	 सेट्	 आ॰ । 	म॑डिँ॒ 		च [विभाजने] 	०१।	०३०५ ॥
मण्ड्	 । चु॰	 सेट्	 उ॰ । 	म॑डिँ॑ 		भूषायां हर्षे च 	१०।	००७६ ॥
मण्ड्	 । भ्वा॰	 सेट्	 प॰ । 	म॑डिँ॑ 		भूषायाम् 	०१।	०३६१ ॥
मथ्	 । भ्वा॰	 सेट्	 प॰ । 	म॑थेँ॑ 		विलोडने 	०१।	०९८३ ॥
मद्	 । चु॰	 सेट्	 आ॰ । 	म॑दँ॒ 		तृप्तियोगे 	०४।	०१०५ ॥
मद्	 । दि॰	 सेट्	 प॰ । 	म॑दीँ॑ 		हर्षे । हर्षग्लेपनयोः (मित् - १।९२७) 	१०।	०२२९ ॥
मन्	 । त॰	 सेट्	 आ॰ । 	म॑नुँ॒ 		अवबोधने 	१०।	०२३३ ॥
मन्	 । दि॰	 अनिट्	 आ॰ । 	म॒नँ॒ 		ज्ञाने 	०८।	०००९ ॥
मन्	 । चु॰	 सेट्	 आ॰ । 	मा॑नँ॒ 		स्तम्भे 	०४।	००७३ ॥
मन्त्र्	 । चु॰	 सेट्	 आ॰ । 	म॑त्रिँ॒ 		गुप्तपरिभाषणे 	१०।	०१९९ ॥
मन्थ्	 । क्र्या॰	 सेट्	 प॰ । 	म॑न्थँ॑ 		विलोडने 	०९।	००४७ ॥
मन्थ्	 । भ्वा॰	 सेट्	 प॰ । 	म॑न्थँ॑ 		विलोडने 	०१।	००४८ ॥
मन्थ्	 । भ्वा॰	 सेट्	 प॰ । 	म॑थिँ॑ 		हिंसासङ्क्लेशनयोः 	०१।	००४४ ॥
मन्द्	 । भ्वा॰	 सेट्	 आ॰ । 	म॑दिँ॒ 		स्तुतिमोदमदस्वप्नकान्तिगतिषु 	०१।	००१३ ॥
मभ्र्	 । भ्वा॰	 सेट्	 प॰ । 	म॑भ्रँ॑ 		[गत्यर्थः] 	०१।	०६३९ ॥
मय्	 । भ्वा॰	 सेट्	 आ॰ । 	म॑यँ॒ 		[गतौ] 	०१।	०५४९ ॥
मर्च्	 । चु॰	 सेट्	 उ॰ । 	म॑र्चँ॑ 		[शब्दार्थः] च 	१०।	०१५१ ॥
मर्ब्	 । भ्वा॰	 सेट्	 प॰ । 	म॑र्बँ॑ 		[गतौ] 	०१।	०४८५ ॥
मर्व्	 । भ्वा॰	 सेट्	 प॰ । 	म॑र्वँ॑ 		पूरणे 	०१।	०६५९ ॥
मल्	 । भ्वा॰	 सेट्	 आ॰ । 	म॑लँ॒ 		[धारणे] 	०१।	०५६६ ॥
मल्ल्	 । भ्वा॰	 सेट्	 आ॰ । 	म॑ल्लँ॒ 		धारणे 	०१।	०५६७ ॥
मव्	 । भ्वा॰	 सेट्	 प॰ । 	म॑वँ॑ 		बन्धने 	०१।	०६८३ ॥
मव्य्	 । भ्वा॰	 सेट्	 प॰ । 	म॑व्यँ॑ 		बन्धने 	०१।	०५८५ ॥
मश्	 । भ्वा॰	 सेट्	 प॰ । 	म॑शँ॑ 		शब्दे 	०१।	०८२५ ॥
मष्	 । भ्वा॰	 सेट्	 प॰ । 	म॑षँ॑ 		[हिंसार्थः] 	०१।	०७८८ ॥
मष्क्	 । भ्वा॰	 सेट्	 आ॰ । 	म॑स्कँ॒ 	(म॑ष्कँ॒)	[गत्यर्थः] 	०१।	०१०७ ॥
मस्	 । दि॰	 सेट्	 प॰ । 	म॑सीँ॑ 		परिमाने 	०४।	०१३१ ॥
मस्क्	 । भ्वा॰	 सेट्	 आ॰ । 	म॑स्कँ॒ 	(म॑ष्कँ॒)	[गत्यर्थः] 	०१।	०१०७ ॥
मस्ज्	 । तु॰	 अनिट्	 प॰ । 	टुम॒स्जोँ॑ 		शुद्धौ 	०६।	०१५१ ॥
मह (मह्)	 । चु॰	 सेट्	 उ॰ । 	म॑हँ॑ 		पूजायाम् 	१०।	०४०६ ॥
मह्	 । भ्वा॰	 सेट्	 प॰ । 	म॑हँ॑ 		पूजायाम् 	०१।	०८३१ ॥
मा	 । दि॰	 अनिट्	 आ॰ । 	मा॒ङ् 		माने 	०४।	००३७ ॥
मा	 । अ॰	 अनिट्	 प॰ । 	मा॒ 		माने 	०२।	००५७ ॥
मा	 । जु॰	 अनिट्	 आ॰ । 	मा॒ङ् 		माने शब्दे च 	०३।	०००७ ॥
माङ्क्ष्	 । भ्वा॰	 सेट्	 प॰ । 	मा॑क्षिँ॑ 		काङ्क्षायाम् 	०१।	०७६२ ॥
मान्	 । चु॰	 सेट्	 आ॰ । 	म॑नँ॒ 		[स्तम्भे] इत्येके 	१०।	०२३४ ॥
मान्	 । चु॰	 सेट्	 उ॰ । 	मा॑नँ॑ 		पूजायाम् 	१०।	०३८१ ॥
मान्	 । भ्वा॰	 सेट्	 आ॰ । 	मा॑नँ॒ 		पूजायाम् 	०१।	११२७ ॥
मार्ग्	 । चु॰	 सेट्	 उ॰ । 	मा॑र्गँ॑ 		अन्वेषणे 	१०।	०३८४ ॥
मार्ज्	 । चु॰	 सेट्	 उ॰ । 	मा॑र्जँ॑ 		शब्दार्थौ 	१०।	०१५० ॥
माह्	 । भ्वा॰	 सेट्	 उ॰ । 	मा॑हृँ॒॑ 		माने 	०१।	१०४२ ॥
मि	 । स्वा॰	 अनिट्	 उ॰ । 	डुमि॒ञ् 		प्रक्षेपने 	०५।	०००४ ॥
मिछ्	 । तु॰	 सेट्	 प॰ । 	मि॑छँ॑ 		उत्क्लेशे 	०६।	००१७ ॥
मिञ्ज्	 । चु॰	 सेट्	 उ॰ । 	मि॑जिँ॑ 		[भाषार्थः] 	१०।	०२८६ ॥
मिथ्	 । भ्वा॰	 सेट्	 उ॰ । 	मि॑थृँ॒॑ 		[[मेधाहिंसनयोः] इत्येके] 	०१।	१००८ ॥
मिद्	 । भ्वा॰	 सेट्	 उ॰ । 	मि॑दृँ॒॑ 		[मेधाहिंसनयोः] 	०१।	१००६ ॥
मिद्	 । चु॰	 सेट्	 उ॰ । 	मि॑दँ॑ 		[स्नेहने] इत्येके 	०४।	०१५८ ॥
मिद्	 । दि॰	 सेट्	 प॰ । 	ञिमि॑दाँ॑ 		स्नेहने 	१०।	००१२ ॥
मिध्	 । भ्वा॰	 सेट्	 उ॰ । 	मि॑धृँ॒॑ 		[मेधाहिंसनयोः] इत्यन्ये 	०१।	१०१० ॥
मिन्द्	 । चु॰	 सेट्	 उ॰ । 	मि॑दिँ॑ 		स्नेहने 	१०।	००११ ॥
मिन्व्	 । भ्वा॰	 सेट्	 प॰ । 	मि॑विँ॑ 		[सेचने । सेचने चेत्येके] 	०१।	०६७२ ॥
मिल्	 । तु॰	 सेट्	 प॰ । 	मि॑लँ॑ 		श्लेषणे 	०६।	००९१ ॥
मिल्	 । तु॰	 सेट्	 उ॰ । 	मि॑लँ॒॑ 		सङ्गमे (सङ्गमने) 	०६।	०१६५ ॥
मिश्	 । भ्वा॰	 सेट्	 प॰ । 	मि॑शँ॑ 		[शब्दे] 	०१।	०८२४ ॥
मिश्र (मिश्र्)	 । चु॰	 सेट्	 उ॰ । 	मि॑श्रँ॑ 		सम्पर्के 	१०।	०४६६ ॥
मिष्	 । भ्वा॰	 सेट्	 प॰ । 	मि॑षुँ॑ 		[सेचने] 	०१।	०७९५ ॥
मिष्	 । तु॰	 सेट्	 प॰ । 	मि॑षँ॑ 		स्पर्धायाम् 	०६।	००७९ ॥
मिह्	 । भ्वा॰	 अनिट्	 प॰ । 	मि॒हँ॑ 		सेचने 	०१।	११४७ ॥
मी	 । चु॰	 सेट्	 उ॰ । 	मी॑ 		गतौ 	०४।	००३२ ॥
मी	 । दि॰	 अनिट्	 आ॰ । 	मी॒ङ् 		हिंसायाम् 	०९।	०००४ ॥
मी	 । क्र्या॰	 अनिट्	 उ॰ । 	मी॒ञ् 		हिंसायाम् (बन्धने) (माने) 	१०।	०३६१ ॥
मीम्	 । भ्वा॰	 सेट्	 प॰ । 	मी॑मृँ॑ 		गतौ । मीमृँ शब्दे च 	०१।	०५३९ ॥
मील्	 । भ्वा॰	 सेट्	 प॰ । 	मी॑लँ॑ 		[निमेषणे] 	०१।	०५९५ ॥
मीव्	 । भ्वा॰	 सेट्	 प॰ । 	मी॑वँ॑ 		[स्थौल्ये] 	०१।	०६४५ ॥
मुङ्ख्	 । भ्वा॰	 सेट्	 प॰ । 	मु॑खिँ॑ 		[गत्यर्थः [इत्यपि केचित्]] 	०१।	०१६६ ॥
मुच्	 । चु॰	 सेट्	 उ॰ । 	मु॑चँ॑ 		प्रमोचने मोदने च (प्रमोचनमोदनयोः) 	०६।	०१६६ ॥
मुच्	 । तु॰	 अनिट्	 उ॰ । 	मु॒चॢँ॒॑॑ 		मोक्षणे (मोचने) 	१०।	०२७२ ॥
मुज्	 । भ्वा॰	 सेट्	 प॰ । 	मु॑जँ॑ 		[शब्दार्थः] 	०१।	०२८३ ॥
मुञ्च्	 । भ्वा॰	 सेट्	 आ॰ । 	मु॑चि॒ 		कल्कने । कथन इत्यन्ये 	०१।	०१९६ ॥
मुञ्ज्	 । भ्वा॰	 सेट्	 प॰ । 	मु॑जिँ॑ 		शब्दार्थाः 	०१।	०२८४ ॥
मुट्	 । भ्वा॰	 सेट्	 प॰ । 	मु॑टँ॑ 		[मर्दने (प्रमर्दने)] इत्येके 	०१।	०३६६ ॥
मुट्	 । तु॰	 सेट्	 प॰ । 	मु॑टँ॑ 		आक्षेपप्रमर्दनयोः 	१०।	०१०४ ॥
मुट्	 । चु॰	 सेट्	 उ॰ । 	मु॑टँ॑ 		सञ्चूर्णने 	०६।	०१०१ ॥
मुड्	 । भ्वा॰	 सेट्	 प॰ । 	मु॑डँ॑ 		[मुटँऽ] [मर्दने (प्रमर्दने)] 	०१।	०३६४ ॥
मुण्	 । तु॰	 सेट्	 प॰ । 	मु॑णँ॑ 		प्रतिज्ञाने 	०६।	००६० ॥
मुण्ठ्	 । भ्वा॰	 सेट्	 आ॰ । 	मु॑ठिँ॒ 		पालने 	०१।	०२९८ ॥
मुण्ड्	 । भ्वा॰	 सेट्	 प॰ । 	मु॑डिँ॑ 		खण्डने 	०१।	०३६९ ॥
मुण्ड्	 । भ्वा॰	 सेट्	 आ॰ । 	मु॑डिँ॒ 		मार्जने 	०१।	०३०८ ॥
मुद्	 । चु॰	 सेट्	 उ॰ । 	मु॑दँ॑ 		संसर्गे 	१०।	०२६८ ॥
मुद्	 । भ्वा॰	 सेट्	 आ॰ । 	मु॑दँ॒ 		हर्षे 	०१।	००१६ ॥
मुर्	 । तु॰	 सेट्	 प॰ । 	मु॑रँ॑ 		संवेष्टने (सञ्चेष्टने) 	०६।	००६९ ॥
मुर्छ्	 । भ्वा॰	 सेट्	 प॰ । 	मु॑र्छाँ॑ 		मोहनसमुच्छ्राययोः 	०१।	०२४० ॥
मुर्व्	 । भ्वा॰	 सेट्	 प॰ । 	मु॑र्वीँ॑ 		बन्धने 	०१।	०६५६ ॥
मुष्	 । क्र्या॰	 सेट्	 प॰ । 	मु॑षँ॑ 		स्तेये 	०९।	००६६ ॥
मुस्	 । दि॰	 सेट्	 प॰ । 	मु॑सँ॑ 		खण्डने 	०४।	०१३० ॥
मुस्त्	 । चु॰	 सेट्	 उ॰ । 	मु॑स्तँ॑ 		सङ्घाते 	१०।	०१२६ ॥
मुह्	 । दि॰	 अनिट्	 प॰ । 	मु॒हँ॑ 		वैचित्त्ये 	०४।	००९५ ॥
मू	 । क्र्या॰	 सेट्	 उ॰ । 	मू॑ञ् 		बन्धने 	०९।	००१५ ॥
मू	 । भ्वा॰	 सेट्	 आ॰ । 	मू॑ङ् 		बन्धने 	०१।	११२२ ॥
मूत्र (मूत्र्)	 । चु॰	 सेट्	 उ॰ । 	मू॑त्रँ॑ 		प्रस्रवणे 	१०।	०४५१ ॥
मूल्	 । भ्वा॰	 सेट्	 प॰ । 	मू॑लँ॑ 		प्रतिष्ठायाम् 	०१।	०६०७ ॥
मूल्	 । चु॰	 सेट्	 उ॰ । 	मू॑लँ॑ 		रोहने 	१०।	००९२ ॥
मूष्	 । भ्वा॰	 सेट्	 प॰ । 	मू॑षँ॑ 		स्तेये 	०१।	०७७० ॥
मृ	 । तु॰	 अनिट्	 आ॰ । 	मृ॒ङ् 		प्राणत्यागे 	०६।	०१३९ ॥
मृक्ष्	 । भ्वा॰	 सेट्	 प॰ । 	मृ॑क्षँ॑ 		सङ्घाते 	०१।	०७५४ ॥
मृग (मृग्)	 । चु॰	 सेट्	 आ॰ । 	मृ॑गँ॒ 		अन्वेषणे 	१०।	०४४२ ॥
मृज्	 । अ॰	 सेट्	 प॰ । 	मृ॑जूँ॑ 		[मृजूँष्] शुद्धौ 	१०।	०३८६ ॥
मृज्	 । चु॰	 सेट्	 उ॰ । 	मृ॑जूँ॑ 		शौचालङ्कारयोः 	०२।	००६१ ॥
मृड्	 । क्र्या॰	 सेट्	 प॰ । 	मृ॑डँ॑ 		(क्षोदे) सुखे च 	०९।	००५२ ॥
मृड्	 । तु॰	 सेट्	 प॰ । 	मृ॑डँ॑ 		सुखने 	०६।	००५३ ॥
मृण्	 । तु॰	 सेट्	 प॰ । 	मृ॑णँ॑ 		हिंसायाम् 	०६।	००५७ ॥
मृण्ड्	 । चु॰	 सेट्	 उ॰ । 	मृ॑डिँ॑ 		[प्रेरणे]) 	१०।	०१६५ ॥
मृद्	 । क्र्या॰	 सेट्	 प॰ । 	मृ॑दँ॑ 		क्षोदे 	०९।	००५१ ॥
मृध्	 । भ्वा॰	 सेट्	 उ॰ । 	मृ॑धुँ॒॑ 		उन्दने 	०१।	१०१५ ॥
मृश्	 । तु॰	 अनिट्	 प॰ । 	मृ॒शँ॑ 		आमर्शणे 	०६।	०१६१ ॥
मृष्	 । चु॰	 सेट्	 उ॰ । 	मृ॑षँ॒॑ 	(मृ॑षँ॒)	तितिक्षायाम् 	०४।	००६० ॥
मृष्	 । दि॰	 सेट्	 उ॰ । 	मृ॑षँ॒॑ 		तितिक्षायाम् 	१०।	०३८७ ॥
मृष्	 । भ्वा॰	 सेट्	 प॰ । 	मृ॑षुँ॑ 		सेचने । मृषुँ सहने च 	०१।	०८०४ ॥
मॄ	 । क्र्या॰	 सेट्	 प॰ । 	मॄ॑ 		हिंसायाम् 	०९।	००२५ ॥
मे	 । भ्वा॰	 अनिट्	 आ॰ । 	मे॒ङ् 		प्रणिदाने 	०१।	१११६ ॥
मेथ्	 । भ्वा॰	 सेट्	 उ॰ । 	मे॑थृँ॒॑ 		[मेधाहिंसनयोः] इत्येके 	०१।	१००९ ॥
मेद्	 । भ्वा॰	 सेट्	 उ॰ । 	मे॑दृँ॒॑ 		मेधाहिंसनयोः 	०१।	१००७ ॥
मेध्	 । भ्वा॰	 सेट्	 उ॰ । 	मे॑धृँ॒॑ 		[मेधाहिंसनयोः] इत्यन्ये । मेधृँ सङ्गमे च 	०१।	१०११ ॥
मेप्	 । भ्वा॰	 सेट्	 आ॰ । 	मे॑पृँ॒ 		[गतौ] 	०१।	०४२९ ॥
मेव्	 । भ्वा॰	 सेट्	 आ॰ । 	मे॑वृँ॒ 		[सेवने] 	०१।	०५७८ ॥
मोक्ष्	 । चु॰	 सेट्	 उ॰ । 	मो॑क्षँ॑ 		आसने (असने) 	१०।	०२५६ ॥
म्ना	 । भ्वा॰	 अनिट्	 प॰ । 	म्ना॒ 		अभ्यासे 	०१।	१०७८ ॥
म्रक्ष्	 । भ्वा॰	 सेट्	 प॰ । 	म्र॑क्षँ॑ 		[सङ्घाते] इत्येके 	०१।	०७५५ ॥
म्रक्ष्	 । चु॰	 सेट्	 उ॰ । 	म्र॑क्षँ॑ 		छेदने 	१०।	०१६८ ॥
म्रक्ष्	 । चु॰	 सेट्	 उ॰ । 	म्र॑क्षँ॑ 		म्लेच्छने 	१०।	०१७१ ॥
म्रछ्	 । चु॰	 सेट्	 उ॰ । 	म्र॑छँ॑ 		[म्लेच्छने] इत्येके 	१०।	०१६९ ॥
म्रद्	 । भ्वा॰	 सेट्	 आ॰ । 	म्र॑दँ॒ 		मर्दने 	०१।	०८७१ ॥
म्रुच्	 । भ्वा॰	 सेट्	 प॰ । 	म्रु॑चुँ॑ 		[गत्यर्थः] 	०१।	०२२२ ॥
म्रुञ्च्	 । भ्वा॰	 सेट्	 प॰ । 	म्रु॑ञ्चुँ॑ 		[गत्यर्थः] 	०१।	०२२० ॥
म्रेट्	 । भ्वा॰	 सेट्	 प॰ । 	म्रे॑टृँ॑ 		[उन्मादे] 	०१।	०३२७ ॥
म्रेड्	 । भ्वा॰	 सेट्	 प॰ । 	म्रे॑डृँ॑ 		उन्मादे 	०१।	०३२८ ॥
म्लुच्	 । भ्वा॰	 सेट्	 प॰ । 	म्लु॑चुँ॑ 		गत्यर्थाः 	०१।	०२२३ ॥
म्लुञ्च्	 । भ्वा॰	 सेट्	 प॰ । 	म्लु॑ञ्चुँ॑ 		[गत्यर्थः] 	०१।	०२२१ ॥ 
म्लेछ्	 । चु॰	 सेट्	 उ॰ । 	म्ले॑छँ॑ 		[छेदने] । म्लेछँ अव्यक्तायां वाचि 	१०।	०१७० ॥
म्लेछ्	 । भ्वा॰	 सेट्	 प॰ । 	म्ले॑छँ॑ 		अव्यक्ते शब्दे 	०१।	०२३३ ॥
म्लेट्	 । भ्वा॰	 सेट्	 प॰ । 	म्ले॑टृँ॑ 		[उन्मादे] इत्येके 	०१।	०३२९ ॥
म्लेव्	 । भ्वा॰	 सेट्	 आ॰ । 	म्ले॑वृँ॒ 		सेवने 	०१।	०५७९ ॥
म्लै	 । भ्वा॰	 अनिट्	 प॰ । 	म्लै॒ 		हर्षक्षये 	०१।	१०५२ ॥
यक्ष्	 । चु॰	 सेट्	 आ॰ । 	य॑क्षँ॒ 		पूजायाम् 	१०।	०२१५ ॥
यज्	 । भ्वा॰	 अनिट्	 उ॰ । 	य॒जँ॒॑ 		देवपूजासङ्गतिकरणदानेषु 	०१।	११५७ ॥
यत्	 । चु॰	 सेट्	 उ॰ । 	य॑तँ॑ 		निकारोपस्कारयोः 	१०।	०२६१ ॥
यत्	 । भ्वा॰	 सेट्	 आ॰ । 	य॑तीँ॒ 		प्रयत्ने 	०१।	००३० ॥
यन्त्र्	 । चु॰	 सेट्	 उ॰ । 	य॑त्रिँ॑ 		सङ्कोचने 	१०।	०००३ ॥
यभ्	 । भ्वा॰	 अनिट्	 प॰ । 	य॒भँ॑ 		मैथुने (विपरीतमैथुने) 	०१।	११३५ ॥
यम्	 । भ्वा॰	 अनिट्	 प॰ । 	य॒मँ॑ 		उपरमे यमोऽपरिवेषणे (न मित् - १।९५३) 	०१।	११३९ ॥
यम्	 । चु॰	 सेट्	 उ॰ । 	य॑मँ॑ 		परिवेषणे (मित् - १।९५३) 	१०।	०११९ ॥
यस्	 । दि॰	 सेट्	 प॰ । 	य॑सुँ॑ 		प्रयत्ने 	०४।	०१०७ ॥
