अंस (अंस्)	 । चु॰	 सेट्	 उ॰ । 	अं॑सँ॑ 		समाघाते 	१०।	०४६० ॥
ईष्	 । भ्वा॰	 सेट्	 प॰ । 	ई॑षँ॑ 		उञ्छे 	०१।	०७८० ॥
ईष्	 । भ्वा॰	 सेट्	 आ॰ । 	ई॑षँ॒ 		गतिहिंसादर्शनेषु 	०१।	०६९५ ॥
ईह्	 । भ्वा॰	 सेट्	 आ॰ । 	ई॑हँ॒ 		चेष्टायाम् 	०१।	०७१९ ॥
उ	 । भ्वा॰	 अनिट्	 आ॰ । 	उ॒ङ् 		[शब्दे] 	०१।	११०२ ॥
उक्ष्	 । भ्वा॰	 सेट्	 प॰ । 	उ॑क्षँ॑ 		सेचने 	०१।	०७४५ ॥
उख्	 । भ्वा॰	 सेट्	 प॰ । 	उ॑खँ॑ 		[गत्यर्थः] 	०१।	०१३६ ॥
उङ्ख्	 । भ्वा॰	 सेट्	 प॰ । 	उ॑खिँ॑ 		[गत्यर्थः] 	०१।	०१३७ ॥
उच्	 । दि॰	 सेट्	 प॰ । 	उ॑चँ॑ 		समवाये 	०४।	०१३५ ॥
उछ्	 । तु॰	 सेट्	 प॰ । 	उ॑छीँ॑ 		विवासे 	०६।	००१५ ॥
उछ्	 । भ्वा॰	 सेट्	 प॰ । 	उ॑छीँ॑ 		विवासे 	०१।	०२४४ ॥
उज्झ्	 । तु॰	 सेट्	 प॰ । 	उ॑ज्झँ॑ 	(उ॑द्झँ॑)	उत्सर्गे 	०६।	००२४ ॥
उञ्छ्	 । तु॰	 सेट्	 प॰ । 	उ॑छिँ॑ 		उञ्छे 	०६।	००१४ ॥
उञ्छ्	 । भ्वा॰	 सेट्	 प॰ । 	उ॑छिँ॑ 		उञ्छे 	०१।	०२४३ ॥
उठ्	 । भ्वा॰	 सेट्	 प॰ । 	उ॑ठँ॑ 		[उपघाते] इत्येके 	०१।	०८५२ ॥
उठ्	 । भ्वा॰	 सेट्	 आ॰ । 	उ॑ठँ॒ 		उपघाते (प्रतिघाते) 	०१।	०३९२ ॥
उत्कण्ठ्	 । चु॰	 सेट्	 उ॰ । 	क॑ठिँ॑ 		शोके । प्रायेणोत्पूर्व उत्कण्ठावचनः 	१०।	०३८५ ॥
उद्झ्	 । तु॰	 सेट्	 प॰ । 	उ॑ज्झँ॑ 	(उ॑द्झँ॑)	उत्सर्गे 	०६।	००२४ ॥
उध्रस्	 । चु॰	 सेट्	 उ॰ । 	उ॑घ्र॑सँ॑ 		[उञ्छे] इत्येके 	१०।	०२७१ ॥
उन्द्	 । रु॰	 सेट्	 प॰ । 	उ॑न्दीँ॑ 		क्लेदने 	०७।	००२० ॥
