इ॑दिँ॑ 	*	परमैश्वर्ये 	*	इन्द्	*	 । भ्वा॰	*	००६५ ॥	*	 प॰ । 	*	 सेट्
ञिइ॒न्धीँ॑ 	*	दीप्तौ 	*	इन्ध्	*	 । रु॰	*	००११ ॥	*	 आ॰ । 	*	 सेट्
इ॑विँ॑ 	*	व्याप्तौ 	*	इन्व्	*	 । भ्वा॰	*	०६७० ॥	*	 प॰ । 	*	 सेट्
इ॑लँ॑ 	*	प्रेरणे 	*	इल्	*	 । चु॰	*	००८४ ॥	*	 उ॰ । 	*	 सेट्
इ॑लँ॑ 	*	स्वप्नक्षेपनयोः 	*	इल्	*	 । तु॰	*	०१६७ ॥	*	 प॰ । 	*	 सेट्
इ॑षँ॑ 	*	इच्छायाम् 	*	इष्	*	 । तु॰	*	००७८ ॥	*	 प॰ । 	*	 सेट्
इ॑षँ॑ 	*	[ईषँ] गतौ 	*	इष्	*	 । दि॰	*	००२२ ॥	*	 प॰ । 	*	 सेट्
इ॑षँ॑ 	*	आभीक्ष्ण्ये 	*	इष्	*	 । क्र्या॰	*	००६१ ॥	*	 प॰ । 	*	 सेट्
ई॒ङ् 	*	गतौ 	*	ई	*	 । दि॰	*	००३८ ॥	*	 आ॰ । 	*	 अनिट्
ई॑क्षँ॒ 	*	दर्शने 	*	ईक्ष्	*	 । भ्वा॰	*	०६९४ ॥	*	 आ॰ । 	*	 सेट्
ई॑खिँ॑ 	*	[गत्यर्थः] 	*	ईख्	*	 । भ्वा॰	*	०१५० ॥	*	 प॰ । 	*	 सेट्
ई॑खिँ॑ 	*	[गत्यर्थः] 	*	ईङ्ख्	*	 । भ्वा॰	*	०१५१ ॥	*	 प॰ । 	*	 सेट्
ई॑ज॒ 	*	गतिकुत्सनयोः 	*	ईज्	*	 । भ्वा॰	*	०२०७ ॥	*	 आ॰ । 	*	 सेट्
ई॑जिँ॒ 	*	[गतिकुत्सनयोः] इत्येके 	*	ईञ्ज्	*	 । भ्वा॰	*	०२०८ ॥	*	 आ॰ । 	*	 सेट्
ई॑डँ॑ 	*	स्तुतौ 	*	ईड्	*	 । चु॰	*	०००९ ॥	*	 उ॰ । 	*	 सेट्
ई॑डँ॒ 	*	स्तुतौ 	*	ईड्	*	 । अ॰	*	०१८३ ॥	*	 आ॰ । 	*	 सेट्
ई॑रँ॑ 	*	क्षेपे 	*	ईर्	*	 । चु॰	*	०००८ ॥	*	 उ॰ । 	*	 सेट्
ई॑रँ॒ 	*	गतौ कम्पने च 	*	ईर्	*	 । अ॰	*	०३४२ ॥	*	 आ॰ । 	*	 सेट्
ई॑र्क्ष्यँ॑ 	*	[ईर्ष्यार्थः] 	*	ईर्क्ष्य्	*	 । भ्वा॰	*	०५८७ ॥	*	 प॰ । 	*	 सेट्
ई॑र्ष्यँ॑ 	*	ईर्ष्यार्थाः 	*	ईर्ष्य्	*	 । भ्वा॰	*	०५८८ ॥	*	 प॰ । 	*	 सेट्
ई॑शँ॒ 	*	ऐश्वर्ये 	*	ईश्	*	 । अ॰	*	००१० ॥	*	 आ॰ । 	*	 सेट्
ई॑षँ॑ 	*	उञ्छे 	*	ईष्	*	 । भ्वा॰	*	०७८० ॥	*	 प॰ । 	*	 सेट्
ई॑षँ॒ 	*	गतिहिंसादर्शनेषु 	*	ईष्	*	 । भ्वा॰	*	०६९५ ॥	*	 आ॰ । 	*	 सेट्
ई॑हँ॒ 	*	चेष्टायाम् 	*	ईह्	*	 । भ्वा॰	*	०७१९ ॥	*	 आ॰ । 	*	 सेट्
उ॒ङ् 	*	[शब्दे] 	*	उ	*	 । भ्वा॰	*	११०२ ॥	*	 आ॰ । 	*	 अनिट्
उ॑क्षँ॑ 	*	सेचने 	*	उक्ष्	*	 । भ्वा॰	*	०७४५ ॥	*	 प॰ । 	*	 सेट्
उ॑खँ॑ 	*	[गत्यर्थः] 	*	उख्	*	 । भ्वा॰	*	०१३६ ॥	*	 प॰ । 	*	 सेट्
उ॑खिँ॑ 	*	[गत्यर्थः] 	*	उङ्ख्	*	 । भ्वा॰	*	०१३७ ॥	*	 प॰ । 	*	 सेट्
उ॑चँ॑ 	*	समवाये 	*	उच्	*	 । दि॰	*	०१३५ ॥	*	 प॰ । 	*	 सेट्
उ॑छीँ॑ 	*	विवासे 	*	उछ्	*	 । तु॰	*	००१५ ॥	*	 प॰ । 	*	 सेट्
उ॑छीँ॑ 	*	विवासे 	*	उछ्	*	 । भ्वा॰	*	०२४४ ॥	*	 प॰ । 	*	 सेट्
