108	भ्वादिः	क्लदिँ ( क्लद् ) 	आह्वाने 	सेट् 	प.प 	57	56	58
109	भ्वादिः	क्लदिँ ( क्लद् ) 	रोदने 	सेट् 	प.प 	57	56	58
110	भ्वादिः	क्लिदिँ ( क्लिद् ) 	परिदेवने 	सेट् 	प.प 	58	57	59
111	भ्वादिः	शुन्धँ ( शुन्ध् ) 	शुद्धौ 	सेट् 	प.प 	59	58	60
112	भ्वादिः	शीकृँ॒ ( शीक् ) 	सेचने 	सेट् 	आ.प 	60	59	61
113	भ्वादिः	लोकृँ॒ ( लोक् ) 	दर्शने 	सेट् 	आ.प 	61	60	62
114	भ्वादिः	श्लोकृँ॒(श्लोक्) 	सङ्घाते 	सेट् 	आ.प 	62	61	63
115	भ्वादिः	द्रेकृँ॒ ( द्रेक् ) 	उत्साहे 	सेट् 	आ.प 	63	62	64
116	भ्वादिः	द्रेकृँ॒ ( द्रेक् ) 	शब्दे 	सेट् 	आ.प 	63	62	64
117	भ्वादिः	ध्रेकृँ॒ ( ध्रेक् ) 	उत्साहे 	सेट् 	आ.प 	63	X	64
118	भ्वादिः	ध्रेकृँ॒ ( ध्रेक् ) 	शब्दे 	सेट् 	आ.प 	63	X	64
119	भ्वादिः	धेकृँ॒(धेक्) 	उत्साहे 	सेट् 	आ.प 	X	62	X
120	भ्वादिः	धेकृँ॒(धेक्) 	शब्दे 	सेट् 	आ.प 	X	62	X
121	भ्वादिः	रेकृँ॒ ( रेक् ) 	शङ्कायाम् 	सेट् 	आ.प 	64	63	65
122	भ्वादिः	श्रकिँ॒ ( श्रक् ) 	गतौ 	सेट् 	आ.प 	65	X	66
123	भ्वादिः	श्लकिँ॒ ( श्लक् ) 	गतौ 	सेट् 	आ.प 	65	64	66
124	भ्वादिः	सेकृँ॒(सेक्) 	गतौ 	सेट् 	आ.प 	65	64	66
125	भ्वादिः	स्रकिँ॒ ( स्रक् ) 	गतौ 	सेट् 	आ.प 	65	64	66
126	भ्वादिः	स्रेकृँ॒ ( स्रेक् ) 	गतौ 	सेट् 	आ.प 	65	64	66
127	भ्वादिः	शीकृँ॒ ( शीक् ) 	गतौ 	सेट् 	आ.प 	X	64	X
128	भ्वादिः	श्रेकृँ॒(श्रेक्) 	गतौ 	सेट् 	आ.प 	X	X	66
129	भ्वादिः	शकिँ॒ ( शक् ) 	शङ्कायाम् 	सेट् 	आ.प 	66	65	67
130	भ्वादिः	अकिँ॒(अक्) 	लक्षणे 	सेट् 	आ.प 	67	66	68
131	भ्वादिः	वकिँ॒ ( वक् ) 	कौटिल्ये 	सेट् 	आ.प 	68	67	69
132	भ्वादिः	मकिँ॒ ( मक् ) 	मण्डने 	सेट् 	आ.प 	69	68	70
133	भ्वादिः	ककँ॒ ( कक् ) 	लौल्ये 	सेट् 	आ.प 	70	69	71
134	भ्वादिः	कुकँ॒ ( कुक् ) 	आदाने 	सेट् 	आ.प 	71	70	72
135	भ्वादिः	वृकँ॒ ( वृक् ) 	आदाने 	सेट् 	आ.प 	71	70	72
136	भ्वादिः	चकँ॒ ( चक् ) 	तृप्तौ 	सेट् 	आ.प 	72	71	73
137	भ्वादिः	चकँ॒ ( चक् ) 	प्रतिघाते 	सेट् 	आ.प 	72	X	73
138	भ्वादिः	ककिँ॒ ( कक् ) 	गतौ 	सेट् 	आ.प 	73	72	74
139	भ्वादिः	टिकृँ॒ ( टिक् ) 	गतौ 	सेट् 	आ.प 	73	72	74
140	भ्वादिः	टीकृँ॒ ( टीक् ) 	गतौ 	सेट् 	आ.प 	73	72	74
141	भ्वादिः	ढौकृँ॒ ( ढौक् ) 	गतौ 	सेट् 	आ.प 	73	72	74
142	भ्वादिः	त्रकिँ॒ ( त्रक् ) 	गतौ 	सेट् 	आ.प 	73	72	74
143	भ्वादिः	त्रौकृँ॒ ( त्रौक् ) 	गतौ 	सेट् 	आ.प 	73	72	74
144	भ्वादिः	मस्कँ॒ ( मस्क् ) 	गतौ 	सेट् 	आ.प 	73	72	74
145	भ्वादिः	रघिँ॒ ( रघ् ) 	गतौ 	सेट् 	आ.प 	73	72	74
146	भ्वादिः	लघिँ॒ ( लघ् ) 	गतौ 	सेट् 	आ.प 	73	72	74
147	भ्वादिः	वकिँ॒ ( वक् ) 	गतौ 	सेट् 	आ.प 	73	X	74
148	भ्वादिः	वस्कँ॒ ( वस्क् ) 	गतौ 	सेट् 	आ.प 	73	72	74
149	भ्वादिः	श्वकिँ॒(श्वक्) 	गतौ 	सेट् 	आ.प 	73	72	74
150	भ्वादिः	ष्वष्कँ॒(ष्वष्क्) 	गतौ 	सेट् 	आ.प 	73	X	X
151	भ्वादिः	ष्वक्कँ॒(ष्वक्क्) 	गतौ 	सेट् 	आ.प 	X	72	X
152	भ्वादिः	तिकृँ॒ ( तिक् ) 	गतौ 	सेट् 	आ.प 	X	X	74
153	भ्वादिः	ष्वक्वँ॒(ष्वक्व्) 	गतौ 	सेट् 	आ.प 	X	X	74
154	भ्वादिः	लघिँ॒ ( लघ् ) 	भोजननिवृत्तौ 	सेट् 	आ.प 	X	73	X
155	भ्वादिः	अघिँ॒(अघ्) 	गत्याक्षेपे 	सेट् 	आ.प 	74	74	75
156	भ्वादिः	मघिँ॒ ( मघ् ) 	गत्याक्षेपे 	सेट् 	आ.प 	74	74	75
157	भ्वादिः	वघिँ॒(वघ्) 	गत्याक्षेपे 	सेट् 	आ.प 	74	74	75
158	भ्वादिः	मघिँ॒ ( मघ् ) 	कैतवे 	सेट् 	आ.प 	X	75	76
159	भ्वादिः	राघृँ॒ ( राघ् ) 	सामर्थ्ये 	सेट् 	आ.प 	75	76	77
160	भ्वादिः	लाघृँ॒ ( लाघ् ) 	सामर्थ्ये 	सेट् 	आ.प 	75	76	77
161	भ्वादिः	द्राघृँ॒ ( द्राघ् ) 	सामर्थ्ये 	सेट् 	आ.प 	X	76	77
162	भ्वादिः	ध्राघृँ॒(ध्राघ्) 	सामर्थ्ये 	सेट् 	आ.प 	X	76	X
163	भ्वादिः	द्राघृँ॒ ( द्राघ् ) 	आयासे 	सेट् 	आ.प 	X	77	X
164	भ्वादिः	श्लाघृँ॒ ( श्लाघ् ) 	कत्थने 	सेट् 	आ.प 	76	78	79
165	भ्वादिः	द्राघृँ॒ ( द्राघ् ) 	आयामे 	सेट् 	आ.प 	X	X	78
166	भ्वादिः	फक्कँ ( फक्क् ) 	नीचैर्गतौ 	सेट् 	प.प 	77	79	80
167	भ्वादिः	तकँ ( तक् ) 	हसने 	सेट् 	प.प 	78	80	81
168	भ्वादिः	तकिँ ( तक् ) 	कृच्छ्रजीवने 	सेट् 	प.प 	79	81	82
169	भ्वादिः	शुकँ(शुक्) 	गतौ 	सेट् 	प.प 	X	82	83
170	भ्वादिः	बुक्कँ ( बुक्क् ) 	भषणे 	सेट् 	प.प 	80	X	84
171	भ्वादिः	कखँ(कख्) 	हसने 	सेट् 	प.प 	81	X	X
172	भ्वादिः	बुक्कँ(बुक्क्) 	भाषणे 	सेट् 	प.प 	X	83	X
