1428	भ्वादिः	ध्मा॒ ( ध्मा ) 	अग्निसंयोगे 	अनिट् 	प.प 	587	611	624
1429	भ्वादिः	ध्मा॒ ( ध्मा ) 	शब्दे 	अनिट् 	प.प 	587	611	624
1430	भ्वादिः	ष्ठा॒ ( ष्ठा ) 	गतिनिवृत्तौ 	अनिट् 	प.प 	588	X	X
1431	भ्वादिः	ष्था॒(ष्था) 	गतिनिवृत्तौ 	अनिट् 	प.प 	X	612	625
1432	भ्वादिः	म्ना॒ ( म्ना ) 	अभ्यासे 	अनिट् 	प.प 	589	613	626
1433	भ्वादिः	दा॒ण् ( दा ) 	दाने 	अनिट् 	प.प 	590	614	627
1434	भ्वादिः	ह्वृ॒(ह्वृ) 	कौटिल्ये 	अनिट् 	प.प 	591	615	628
1435	भ्वादिः	स्वृ॒(स्वृ) 	उपतापे 	अनिट् 	प.प 	592	616	629
1436	भ्वादिः	स्वृ॒(स्वृ) 	शब्दे 	अनिट् 	प.प 	592	616	629
1437	भ्वादिः	स्मृ॒(स्मृ) 	चिन्तायाम् 	अनिट् 	प.प 	593	617	630
1438	भ्वादिः	द्वृ॒(द्वृ) 	वरणे 	अनिट् 	प.प 	X	618	X
1439	भ्वादिः	सृ॒(सृ) 	गतौ 	अनिट् 	प.प 	594	619	632
1440	भ्वादिः	द्वृ॒(द्वृ) 	अनादरे 	अनिट् 	प.प 	X	X	631
1441	भ्वादिः	ऋ॒(ऋ) 	गतौ 	अनिट् 	प.प 	595	620	633
1442	भ्वादिः	ऋ॒(ऋ) 	प्रापणे 	अनिट् 	प.प 	595	620	633
1443	भ्वादिः	गृ॒(गृ) 	सेचने 	अनिट् 	प.प 	596	621	634
1444	भ्वादिः	घृ॒(घृ) 	सेचने 	अनिट् 	प.प 	596	621	634
1445	भ्वादिः	ध्वृ॒(ध्वृ) 	हूर्च्छने 	अनिट् 	प.प 	597	622	635
1446	भ्वादिः	शु॒(शु) 	गतौ 	अनिट् 	प.प 	X	623	X
1447	भ्वादिः	श्रु॒ ( श्रु ) 	गतौ 	अनिट् 	प.प 	X	623	X
1448	भ्वादिः	स्रु॒ ( स्रु ) 	गतौ 	अनिट् 	प.प 	598	625	636
1449	भ्वादिः	षु॒ ( षु ) 	गतौ 	अनिट् 	प.प 	X	X	636
1450	भ्वादिः	षु॒ ( षु ) 	ऐश्वर्ये 	अनिट् 	प.प 	599	624	637
1451	भ्वादिः	षु॒ ( षु ) 	प्रसवे 	अनिट् 	प.प 	599	624	637
1452	भ्वादिः	श्रु॒ ( श्रु ) 	श्रवणे 	अनिट् 	प.प 	600	X	638
1453	भ्वादिः	ध्रु॒ ( ध्रु ) 	स्थैर्ये 	अनिट् 	प.प 	601	626	639
1454	भ्वादिः	दु॒(दु) 	गतौ 	अनिट् 	प.प 	602	627	640
1455	भ्वादिः	द्रु॒ ( द्रु ) 	गतौ 	अनिट् 	प.प 	602	627	640
1456	भ्वादिः	जि॒(जि) 	अभिभवे 	अनिट् 	प.प 	603	628	641
1457	भ्वादिः	ज्रि॒(ज्रि) 	अभिभवे 	अनिट् 	प.प 	603	X	641
1458	भ्वादिः	जृ॒(जृ) 	अभिभवे 	अनिट् 	प.प 	X	628	X
1459	भ्वादिः	ष्मि॒ङ् ( ष्मि ) 	ईषद्धसने 	अनिट् 	आ.प 	604	X	642
1460	भ्वादिः	स्मि॒ङ् ( स्मि ) 	ईषद्धसने 	अनिट् 	आ.प 	X	630	X
1461	भ्वादिः	गु॒ङ्(गु) 	अव्यक्ते_शब्दे 	अनिट् 	आ.प 	605	631	643
1462	भ्वादिः	गा॒ङ् ( गा ) 	गतौ 	अनिट् 	आ.प 	606	632	644
1463	भ्वादिः	उ॒ङ् ( उ ) 	शब्दे 	अनिट् 	आ.प 	607	633	645
1464	भ्वादिः	कु॒ङ् ( कु ) 	शब्दे 	अनिट् 	आ.प 	607	633	645
1465	भ्वादिः	घु॒ङ् ( घु ) 	शब्दे 	अनिट् 	आ.प 	607	633	645
1466	भ्वादिः	ङु॒ङ्(ङु) 	शब्दे 	अनिट् 	आ.प 	X	X	645
1467	भ्वादिः	च्यु॒ङ् ( च्यु ) 	गतौ 	अनिट् 	आ.प 	608	634	646
1468	भ्वादिः	ज्यु॒ङ् ( ज्यु ) 	गतौ 	अनिट् 	आ.प 	608	634	646
1469	भ्वादिः	प्रु॒ङ् ( प्रु ) 	गतौ 	अनिट् 	आ.प 	608	634	646
1470	भ्वादिः	प्लु॒ङ् ( प्लु ) 	गतौ 	अनिट् 	आ.प 	608	634	646
1471	भ्वादिः	छ्यु॒ङ्(छ्यु) 	गतौ 	अनिट् 	आ.प 	X	634	646
1472	भ्वादिः	झ्यु॒ङ्(झ्यु) 	गतौ 	अनिट् 	आ.प 	X	X	646
1473	भ्वादिः	रु॒ङ् ( रु ) 	गतौ 	अनिट् 	आ.प 	609	635	648
1474	भ्वादिः	रु॒ङ् ( रु ) 	रेषणे 	अनिट् 	आ.प 	609	635	648
1475	भ्वादिः	धृ॒ङ् ( धृ ) 	अवध्वंसने 	अनिट् 	आ.प 	610	636	649
1476	भ्वादिः	मे॒ङ् ( मे ) 	प्रणिदाने 	अनिट् 	आ.प 	611	637	650
1477	भ्वादिः	दे॒ङ् ( दे ) 	रक्षणे 	अनिट् 	आ.प 	612	638	651
1478	भ्वादिः	श्यै॒ङ् ( श्यै ) 	गतौ 	अनिट् 	आ.प 	613	639	652
1479	भ्वादिः	प्यै॒ङ् ( प्यै ) 	वृद्धौ 	अनिट् 	आ.प 	614	640	653
1480	भ्वादिः	त्रै॒ङ् ( त्रै ) 	पालने 	अनिट् 	आ.प 	615	641	654
1481	भ्वादिः	पूङ् ( पू ) 	पवने 	सेट् 	आ.प 	616	642	655
1482	भ्वादिः	मूङ् ( मू ) 	बन्धने 	सेट् 	आ.प 	617	643	656
1483	भ्वादिः	डीङ्(डी) 	विहायसा_गतौ 	सेट् 	आ.प 	618	644	657
1484	भ्वादिः	तॄ ( तॄ ) 	तरणे 	सेट् 	प.प 	619	645	658
1485	भ्वादिः	तॄ ( तॄ ) 	प्लवने 	सेट् 	प.प 	619	645	658
1486	भ्वादिः	गुपँ॒ ( गुप् ) 	गोपने 	सेट् 	आ.प 	620	X	659
1487	भ्वादिः	गुपँ॒(गुप्) 	कुत्सायाम् 	सेट् 	आ.प 	X	X	659
1488	भ्वादिः	तिजँ॒ ( तिज् ) 	निशाने 	सेट् 	आ.प 	621	X	660
1489	भ्वादिः	तिजँ॒ ( तिज् ) 	क्षमायाम् 	सेट् 	आ.प 	X	X	660
1490	भ्वादिः	मानँ॒ ( मान् ) 	पूजायाम् 	सेट् 	आ.प 	622	X	661
1491	भ्वादिः	बधँ॒ ( बध् ) 	बन्धने 	सेट् 	आ.प 	623	X	662
1492	भ्वादिः	गु॒पँ॒ ( गुप् ) 	गोपने 	अनिट् 	आ.प 	X	646	X
1493	भ्वादिः	ति॒जँ॒ ( तिज् ) 	क्षमायाम् 	अनिट् 	आ.प 	X	647	X
1494	भ्वादिः	ति॒जँ॒ ( तिज् ) 	निशाने 	अनिट् 	आ.प 	X	647	X
1495	भ्वादिः	मा॒नँ॒ ( मान् ) 	पूजायाम् 	अनिट् 	आ.प 	X	648	X
1496	भ्वादिः	ब॒धँ॒ ( बध् ) 	बन्धने 	अनिट् 	आ.प 	X	649	X
1497	भ्वादिः	र॒भँ॒ ( रभ् ) 	राभस्ये 	अनिट् 	आ.प 	625	650	663
1498	भ्वादिः	डु॒ल॒भँ॒ष् ( लभ् ) 	प्राप्तौ 	अनिट् 	आ.प 	626	651	664
1499	भ्वादिः	ष्व॒न्जँ॒(ष्वन्ज्) 	परिष्वङ्गे 	अनिट् 	आ.प 	627	652	665
1500	भ्वादिः	ह॒दँ॒ ( हद् ) 	पुरीषोत्सर्गे 	अनिट् 	आ.प 	628	653	666
1501	भ्वादिः	ञिक्ष्विदाँ(क्ष्विद्) 	अव्यक्ते_शब्दे 	सेट् 	प.प 	629	654	X
1502	भ्वादिः	ञिक्ष्वि॒दाँ(क्ष्विद्) 	अव्यक्ते_शब्दे 	अनिट् 	प.प 	X	X	667
1503	भ्वादिः	स्क॒न्दिँर्(स्कन्द्) 	गतौ 	अनिट् 	प.प 	630	X	668
1504	भ्वादिः	स्क॒न्दिँर्(स्कन्द्) 	शोषणे 	अनिट् 	प.प 	630	655	668
1505	भ्वादिः	य॒भँ ( यभ् ) 	विपरीतमैथुने 	अनिट् 	प.प 	631	656	669
1506	भ्वादिः	ण॒मँ(णम्) 	प्रह्वत्वेशब्दे 	अनिट् 	प.प 	632	X	X
1507	भ्वादिः	ण॒मँ(णम्) 	प्रह्वत्वे 	अनिट् 	प.प 	X	657	670
1508	भ्वादिः	ग॒मॢँ(गम्) 	गतौ 	अनिट् 	प.प 	633	658	671
1509	भ्वादिः	सृ॒पॢँ(सृप्) 	गतौ 	अनिट् 	प.प 	633	658	671
1510	भ्वादिः	ण॒मँ(णम्) 	शब्दे 	अनिट् 	प.प 	X	X	670
1511	भ्वादिः	य॒मँ ( यम् ) 	उपरमे 	अनिट् 	प.प 	634	659	X
1512	भ्वादिः	य॒मुँ(यम्) 	उपरमे 	अनिट् 	प.प 	X	X	672
1513	भ्वादिः	त॒पँ ( तप् ) 	सन्तापे 	अनिट् 	प.प 	635	660	673
1514	भ्वादिः	त्य॒जँ(त्यज्) 	हानौ 	अनिट् 	प.प 	636	661	674
1515	भ्वादिः	ष॒न्जँ(षन्ज्) 	सङ्गे 	अनिट् 	प.प 	637	662	675
1516	भ्वादिः	दृ॒शिँर् ( दृश् ) 	प्रेक्षणे 	अनिट् 	प.प 	638	663	676
1517	भ्वादिः	द॒न्शँ(दन्श्) 	दंशने 	अनिट् 	प.प 	639	X	677
1518	भ्वादिः	द॒न्शँ(दन्श्) 	दशने 	अनिट् 	प.प 	X	664	X
1519	भ्वादिः	कृ॒षँ ( कृष् ) 	विलेखने 	अनिट् 	प.प 	640	665	678
1520	भ्वादिः	द॒हँ ( दह् ) 	भस्मीकरणे 	अनिट् 	प.प 	641	666	679
1521	भ्वादिः	मि॒हँ ( मिह् ) 	सेचने 	अनिट् 	प.प 	642	667	680
1522	भ्वादिः	कितँ ( कित् ) 	निवासे 	सेट् 	प.प 	643	X	X
1523	भ्वादिः	कितँ ( कित् ) 	रोगापनयने 	सेट् 	प.प 	643	X	X
1524	भ्वादिः	दानँ॑(दान्) 	खण्डने 	सेट् 	उ.प 	644	X	X
1525	भ्वादिः	कि॒तँ ( कित् ) 	निवासे 	अनिट् 	प.प 	X	668	681
1526	भ्वादिः	कि॒तँ ( कित् ) 	रोगापनयने 	अनिट् 	प.प 	X	668	681
1527	भ्वादिः	दानँ॑ ( दान् ) 	अवखण्डने 	सेट् 	उ.प 	X	X	682
1528	भ्वादिः	शानँ॑ ( शान् ) 	तेजने 	सेट् 	उ.प 	645	X	683
1529	भ्वादिः	दा॒नँ॑ ( दान् ) 	अवखण्डने 	अनिट् 	उ.प 	X	669	X
1530	भ्वादिः	शा॒नँ॑ ( शान् ) 	तेजने 	अनिट् 	उ.प 	X	670	X
1531	भ्वादिः	डु॑प॒चँ॑ष् ( पच् ) 	पाके 	अनिट् 	उ.प 	646	671	684
1532	भ्वादिः	ष॒चँ॑ ( षच् ) 	समवाये 	अनिट् 	उ.प 	647	X	X
1533	भ्वादिः	षचँ॑ ( षच् ) 	समवाये 	सेट् 	उ.प 	X	X	685
1534	भ्वादिः	भ॒जँ॑ ( भज् ) 	सेवायाम् 	अनिट् 	उ.प 	648	672	686
1535	भ्वादिः	र॒न्जँ॑(रन्ज्) 	रागे 	अनिट् 	उ.प 	649	673	687
1536	भ्वादिः	श॒पँ॑ ( शप् ) 	आक्रोशे 	अनिट् 	उ.प 	650	674	688
1537	भ्वादिः	त्वि॒षँ॑ ( त्विष् ) 	दीप्तौ 	अनिट् 	उ.प 	651	675	689
1538	भ्वादिः	य॒जँ॑ ( यज् ) 	दाने 	अनिट् 	उ.प 	652	676	690
1539	भ्वादिः	य॒जँ॑ ( यज् ) 	देवपूजायाम् 	अनिट् 	उ.प 	652	676	690
1540	भ्वादिः	य॒जँ॑ ( यज् ) 	सङ्गतिकरणे 	अनिट् 	उ.प 	652	676	690
1541	भ्वादिः	डु॑व॒पँ॑ ( वप् ) 	बीजसन्ताने 	अनिट् 	उ.प 	653	677	691
1542	भ्वादिः	व॒हँ॑ ( वह् ) 	प्रापणे 	अनिट् 	उ.प 	654	678	692
1543	भ्वादिः	व॒सँ ( वस् ) 	निवासे 	अनिट् 	प.प 	655	679	693
1544	भ्वादिः	वे॒ञ्(वे) 	तन्तुसन्ताने 	अनिट् 	उ.प 	656	680	694
1545	भ्वादिः	व्ये॒ञ् ( व्ये ) 	संवरणे 	अनिट् 	उ.प 	657	681	695
1546	भ्वादिः	ह्वे॒ञ्(ह्वे) 	शब्दे 	अनिट् 	उ.प 	658	682	696
1547	भ्वादिः	ह्वे॒ञ्(ह्वे) 	स्पर्धायाम् 	अनिट् 	उ.प 	658	682	696
1548	भ्वादिः	वदँ(वद्) 	व्यक्तायां_वाचि 	सेट् 	प.प 	659	683	697
1549	भ्वादिः	टुओँश्वि ( श्वि ) 	गतौ 	सेट् 	प.प 	660	684	698
1550	भ्वादिः	टुओँश्वि ( श्वि ) 	वृद्धौ 	सेट् 	प.प 	660	684	698
1551	अदादिः	अदँ ( अद् ) 	भक्षणे 	अनिट् 	प.प 	661	685	699
1552	अदादिः	ह॒नँ ( हन् ) 	गतौ 	अनिट् 	प.प 	662	686	700
1553	अदादिः	ह॒नँ ( हन् ) 	हिंसायाम् 	अनिट् 	प.प 	662	686	700
1554	अदादिः	द्वि॒षँ॑ ( द्विष् ) 	अप्रीतौ 	अनिट् 	उ.प 	663	687	701
1555	अदादिः	दु॒हँ॑ ( दुह् ) 	प्रपूरणे 	अनिट् 	उ.प 	664	688	702
1556	अदादिः	दि॒हँ॑ ( दिह् ) 	उपचये 	अनिट् 	उ.प 	665	689	X
1557	अदादिः	दि॒हँ॑ ( दिह् ) 	उपतापे 	अनिट् 	उ.प 	X	X	703
1558	अदादिः	लि॒हँ॑ ( लिह् ) 	आस्वादने 	अनिट् 	उ.प 	666	690	704
1559	अदादिः	च॒क्षिँ॒ङ्(चक्ष्) 	व्यक्तायां_वाचि 	अनिट् 	आ.प 	667	691	X
1560	अदादिः	चक्षिँ॒ङ्(चक्ष्) 	व्यक्तायां_वाचि 	सेट् 	आ.प 	X	X	705
1561	अदादिः	ईरँ॒(ईर्) 	कम्पने 	सेट् 	आ.प 	668	X	706
1562	अदादिः	ईरँ॒(ईर्) 	गतौ 	सेट् 	आ.प 	668	692	706
1563	अदादिः	ईडँ॒ ( ईड् ) 	स्तुतौ 	सेट् 	आ.प 	669	693	707
1564	अदादिः	ईशँ॒ ( ईश् ) 	ऐश्वर्ये 	सेट् 	आ.प 	670	694	708
1565	अदादिः	आसँ॒ ( आस् ) 	उपवेशने 	सेट् 	आ.प 	671	695	709
1566	अदादिः	आङः-शासुँ॒(आङः-शास्) 	इच्छायाम् 	सेट् 	आ.प 	672	696	710
1567	अदादिः	वसँ॒ ( वस् ) 	आच्छादने 	सेट् 	आ.प 	673	697	711
1568	अदादिः	कसिँ॒ ( कस् ) 	गतौ 	सेट् 	आ.प 	674	698	712
1569	अदादिः	कसिँ॒ ( कस् ) 	शासने 	सेट् 	आ.प 	674	698	X
1570	अदादिः	कसिँ॒ ( कस् ) 	निशाने 	सेट् 	आ.प 	X	X	712
1571	अदादिः	णिसिँ॒(णिस्) 	चुम्बने 	सेट् 	आ.प 	675	699	713
1572	अदादिः	णिसिँ॒(णिस्) 	गतौ 	सेट् 	आ.प 	X	X	713
1573	अदादिः	णिसिँ॒(णिस्) 	निशाने 	सेट् 	आ.प 	X	X	713
1574	अदादिः	णिजिँ॒(णिज्) 	शुद्धौ 	सेट् 	आ.प 	676	700	714
1575	अदादिः	शिजिँ॒(शिज्) 	अव्यक्ते_शब्दे 	सेट् 	आ.प 	677	701	715
1576	अदादिः	पिजिँ॒(पिज्) 	वर्णे 	सेट् 	आ.प 	678	X	716
1577	अदादिः	वृजीँ॒ ( वृज् ) 	वर्जने 	सेट् 	आ.प 	679	X	718
1578	अदादिः	पृचीँ॒(पृच्) 	सम्पर्चने 	सेट् 	आ.प 	680	X	X
1579	अदादिः	षूङ् ( षू ) 	प्राणिगर्भविमोचने 	सेट् 	प.प 	681	X	X
1580	अदादिः	शीङ् ( शी ) 	स्वप्ने 	सेट् 	प.प 	682	X	X
1581	अदादिः	पृचीँ॒ ( पृच् ) 	सम्पर्के 	सेट् 	आ.प 	X	702	X
1582	अदादिः	यु ( यु ) 	मिश्रणे 	सेट् 	प.प 	683	705	722
1583	अदादिः	षूङ् ( षू ) 	प्राणिगर्भविमोचने 	सेट् 	आ.प 	X	703	720
1584	अदादिः	शीङ् ( शी ) 	स्वप्ने 	सेट् 	आ.प 	X	704	721
1585	अदादिः	पृजीँ॒(पृज्) 	सम्पर्के 	सेट् 	आ.प 	X	X	719
1586	अदादिः	रु ( रु ) 	शब्दे 	सेट् 	प.प 	684	706	723
1587	अदादिः	णु(णु) 	स्तुतौ 	सेट् 	प.प 	685	707	724
1588	अदादिः	टुक्षु ( क्षु ) 	शब्दे 	सेट् 	प.प 	686	708	725
1589	अदादिः	क्ष्णु ( क्ष्णु ) 	तेजने 	सेट् 	प.प 	687	709	726
1590	अदादिः	ष्नु(ष्नु) 	प्रस्रवणे 	सेट् 	प.प 	688	X	727
1591	अदादिः	ष्नु(ष्नु) 	प्रसवणे 	सेट् 	प.प 	X	710	X
1592	अदादिः	ऊर्णुञ् ( ऊर्णु ) 	आच्छादने 	सेट् 	उ.प 	689	711	728
1593	अदादिः	द्यु॒ ( द्यु ) 	अभिगमने 	अनिट् 	प.प 	690	712	729
1594	अदादिः	षु॒ ( षु ) 	ऐश्वर्ये 	अनिट् 	प.प 	691	713	730
1595	अदादिः	षु॒ ( षु ) 	प्रसवे 	अनिट् 	प.प 	691	713	730
1596	अदादिः	कु॒ ( कु ) 	शब्दे 	अनिट् 	प.प 	692	714	731
1597	अदादिः	ष्तु॒ञ्(ष्तु) 	स्तुतौ 	अनिट् 	उ.प 	693	715	732
1598	अदादिः	ब्रू॒ञ्(ब्रू) 	व्यक्तायां_वाचि 	अनिट् 	उ.प 	694	716	733
1599	अदादिः	इ॒ण् ( इ ) 	गतौ 	अनिट् 	प.प 	695	717	734
1600	अदादिः	इ॒ङ् ( इ ) 	अध्ययने 	अनिट् 	आ.प 	696	718	735
1601	अदादिः	इ॒क् ( इ ) 	स्मरणे 	अनिट् 	प.प 	697	719	736
1602	अदादिः	वी॒ ( वी ) 	असने 	अनिट् 	प.प 	698	720	737
1603	अदादिः	वी॒ ( वी ) 	कान्तौ 	अनिट् 	प.प 	698	720	737
1604	अदादिः	वी॒ ( वी ) 	खादने 	अनिट् 	प.प 	698	720	737
1605	अदादिः	वी॒ ( वी ) 	गतौ 	अनिट् 	प.प 	698	720	737
1606	अदादिः	वी॒ ( वी ) 	प्रजने 	अनिट् 	प.प 	698	720	737
1607	अदादिः	या॒ ( या ) 	प्रापणे 	अनिट् 	प.प 	699	721	738
1608	अदादिः	वा॒ ( वा ) 	गतौ 	अनिट् 	प.प 	700	722	739
1609	अदादिः	वा॒ ( वा ) 	गन्धने 	अनिट् 	प.प 	700	722	739
1610	अदादिः	भा॒ ( भा ) 	दीप्तौ 	अनिट् 	प.प 	701	723	740
1611	अदादिः	ष्ना॒(ष्ना) 	शौचे 	अनिट् 	प.प 	702	724	741
1612	अदादिः	श्रा॒ ( श्रा ) 	पाके 	अनिट् 	प.प 	703	725	742
1613	अदादिः	द्रा॒(द्रा) 	कुत्सायां_गतौ 	अनिट् 	प.प 	704	X	743
1614	अदादिः	द्रा॒(द्रा) 	कुत्सितायां_गतौ 	अनिट् 	प.प 	X	726	X
1615	अदादिः	प्सा॒ ( प्सा ) 	भक्षणे 	अनिट् 	प.प 	705	727	744
1616	अदादिः	पा॒ ( पा ) 	रक्षणे 	अनिट् 	प.प 	706	728	745
1617	अदादिः	रा॒ ( रा ) 	दाने 	अनिट् 	प.प 	707	729	746
1618	अदादिः	ला॒ ( ला ) 	आदाने 	अनिट् 	प.प 	708	730	747
1619	अदादिः	दा॒प् ( दा ) 	लवने 	अनिट् 	प.प 	709	731	748
1620	अदादिः	ख्या॒ ( ख्या ) 	प्रकथने 	अनिट् 	प.प 	710	732	749
1621	अदादिः	प्रा॒ ( प्रा ) 	पूरणे 	अनिट् 	प.प 	711	733	750
1622	अदादिः	मा॒ ( मा ) 	माने 	अनिट् 	प.प 	712	734	751
1623	अदादिः	व॒चँ(वच्) 	परिभाषणे 	अनिट् 	प.प 	713	X	X
1624	अदादिः	व॒चँ ( वच् ) 	भाषणे 	अनिट् 	प.प 	X	735	752
1625	अदादिः	विदँ ( विद् ) 	ज्ञाने 	सेट् 	प.प 	714	736	753
1626	अदादिः	असँ ( अस् ) 	भुवि 	सेट् 	प.प 	715	737	754
1627	अदादिः	मृजूँ(मृज्) 	शुद्धौ 	सेट् 	प.प 	716	X	755
1628	अदादिः	मृजूँष् ( मृज् ) 	शुद्धौ 	सेट् 	प.प 	X	738	X
1629	अदादिः	रुदिँर् ( रुद् ) 	अश्रुविमोचने 	सेट् 	प.प 	717	739	756
1630	अदादिः	ञिष्व॒पँ(ष्वप्) 	शये 	अनिट् 	प.प 	718	740	757
1631	अदादिः	श्वसँ ( श्वस् ) 	प्राणने 	सेट् 	प.प 	719	741	758
1632	अदादिः	अनँ ( अन् ) 	प्राणने 	सेट् 	प.प 	720	742	759
1633	अदादिः	जक्षँ(जक्ष्) 	भक्षणे 	सेट् 	प.प 	721	743	760
1634	अदादिः	जक्षँ ( जक्ष् ) 	हसने 	सेट् 	प.प 	721	743	760
1635	अदादिः	जागृ(जागृ) 	निद्राक्षये 	सेट् 	प.प 	722	744	761
1636	अदादिः	द॒॒रिदरा ( दरिद्रा ) 	दुर्गतौ 	सेट् 	प.प 	723	745	762
1637	अदादिः	च॒॒काृँ ( चकास् ) 	दीप्तौ 	सेट् 	प.प 	724	746	763
1638	अदादिः	शासुँ ( शास् ) 	अनुशिष्टौ 	सेट् 	प.प 	725	747	764
1639	अदादिः	दीधीङ् ( दीधी ) 	दीप्तौ 	सेट् 	आ.प 	726	748	765
1640	अदादिः	दीधीङ् ( दीधी ) 	देवने 	सेट् 	आ.प 	726	748	765
1641	अदादिः	वेवीङ्(वेवी) 	वेतिना_तुल्ये 	सेट् 	आ.प 	727	749	766
1642	अदादिः	षसँ ( षस् ) 	स्वप्ने 	सेट् 	प.प 	728	750	X
1643	अदादिः	षस्तिँ(षस्त्) 	स्वप्ने 	सेट् 	प.प 	728	X	X
1644	अदादिः	षसँ(षस्) 	ष्वप्ने 	सेट् 	प.प 	X	X	767
1645	अदादिः	षस्तिँ(षस्त्) 	ष्वप्ने 	सेट् 	प.प 	X	X	767
1646	अदादिः	वशँ ( वश् ) 	कान्तौ 	सेट् 	प.प 	729	751	768
1647	अदादिः	ह्नु॒ङ् ( ह्नु ) 	अपनयने 	अनिट् 	आ.प 	731	753	769
1648	जुहोत्यादिः	हु॒(हु) 	अदने 	अनिट् 	प.प 	732	754	X
1649	जुहोत्यादिः	हु॒(हु) 	दाने 	अनिट् 	प.प 	732	754	X
1650	जुहोत्यादिः	ञिभी॒ ( भी ) 	भये 	अनिट् 	प.प 	733	755	X
1651	जुहोत्यादिः	ह्री॒ ( ह्री ) 	लज्जायाम् 	अनिट् 	प.प 	734	756	X
1652	जुहोत्यादिः	पॄ ( पॄ ) 	पालने 	सेट् 	प.प 	735	X	X
1653	जुहोत्यादिः	पॄ ( पॄ ) 	पूरणे 	सेट् 	प.प 	735	X	X
1654	जुहोत्यादिः	पॄ ( पॄ ) 	पालने 	अनिट् 	प.प 	X	757	X
1655	जुहोत्यादिः	पॄ ( पॄ ) 	पूरणे 	अनिट् 	प.प 	X	757	X
1656	जुहोत्यादिः	डु॑भृ॒ञ् ( भृ ) 	धारणे 	अनिट् 	उ.प 	736	758	X
1657	जुहोत्यादिः	डु॑भृ॒ञ् ( भृ ) 	पोषणे 	अनिट् 	उ.प 	736	758	X
1658	जुहोत्यादिः	हु॒(हु) 	दाने 	अनिट् 	आ.प 	X	X	770
1659	जुहोत्यादिः	ञि॒भी॒ ( भी ) 	भये 	अनिट् 	आ.प 	X	X	771
1660	जुहोत्यादिः	ह्री॒ ( ह्री ) 	लज्जायाम् 	अनिट् 	आ.प 	X	X	772
1661	जुहोत्यादिः	पृ॒(पृ) 	पालने 	अनिट् 	आ.प 	X	X	773
1662	जुहोत्यादिः	पृ॒(पृ) 	पूरणे 	अनिट् 	आ.प 	X	X	773
1663	जुहोत्यादिः	डु॒भृ॒ञ् ( भृ ) 	धारणे 	अनिट् 	आ.प 	X	X	774
1664	जुहोत्यादिः	डु॒भृ॒ञ् ( भृ ) 	पोषणे 	अनिट् 	आ.प 	X	X	774
1665	जुहोत्यादिः	मा॒ङ्(मा) 	माने 	अनिट् 	आ.प 	737	759	775
1666	जुहोत्यादिः	मा॒ङ्(मा) 	शब्दे 	अनिट् 	आ.प 	737	759	775
1667	जुहोत्यादिः	x{0952}हा॒ङ् ( हा ) 	गतौ 	अनिट् 	आ.प 	738	760	776
1668	जुहोत्यादिः	ओँहा॒क् ( हा ) 	त्यागे 	अनिट् 	प.प 	739	761	X
1669	जुहोत्यादिः	डु॑दा॒ञ् ( दा ) 	दाने 	अनिट् 	उ.प 	740	762	X
1670	जुहोत्यादिः	डु॑धा॒ञ् ( धा ) 	धारणे 	अनिट् 	उ.प 	741	763	X
1671	जुहोत्यादिः	डु॑धा॒ञ् ( धा ) 	पोषणे 	अनिट् 	उ.प 	741	X	X
1672	जुहोत्यादिः	डु॑धा॒ञ् ( धा ) 	दाने 	अनिट् 	उ.प 	X	763	X
1673	जुहोत्यादिः	णि॒जिँ॑र्(णिज्) 	पोषणे 	अनिट् 	उ.प 	742	764	X
1674	जुहोत्यादिः	णि॒जिँ॑र्(णिज्) 	शौचे 	अनिट् 	उ.प 	742	764	X
1675	जुहोत्यादिः	वि॒जिँ॑र्(विज्) 	पृथग्भावे 	अनिट् 	उ.प 	743	765	X
1676	जुहोत्यादिः	वि॒षॢँ॑(विष्) 	व्याप्तौ 	अनिट् 	उ.प 	744	766	X
1677	जुहोत्यादिः	घृ॒(घृ) 	क्षरणे 	अनिट् 	प.प 	745	767	X
1678	जुहोत्यादिः	घृ॒(घृ) 	दीप्तौ 	अनिट् 	प.प 	745	767	X
1679	जुहोत्यादिः	हृ॒(हृ) 	प्रसह्यकरणे 	अनिट् 	प.प 	746	768	X
1680	जुहोत्यादिः	ऋ॒(ऋ) 	गतौ 	अनिट् 	प.प 	747	769	X
1681	जुहोत्यादिः	सृ॒(सृ) 	गतौ 	अनिट् 	प.प 	747	769	X
1682	जुहोत्यादिः	भसँ ( भस् ) 	दीप्तौ 	सेट् 	प.प 	748	X	X
1683	जुहोत्यादिः	भसँ ( भस् ) 	भर्त्सने 	सेट् 	प.प 	748	X	X
1684	जुहोत्यादिः	कि॒ ( कि ) 	ज्ञाने 	अनिट् 	प.प 	749	770	X
1685	जुहोत्यादिः	तुरँ ( तुर् ) 	त्वरणे 	सेट् 	प.प 	750	X	X
1686	जुहोत्यादिः	धिषँ ( धिष् ) 	शब्दे 	सेट् 	प.प 	751	X	X
1687	जुहोत्यादिः	धनँ ( धन् ) 	धान्ये 	सेट् 	प.प 	752	X	X
1688	जुहोत्यादिः	जनँ ( जन् ) 	जनने 	सेट् 	प.प 	753	X	X
1689	जुहोत्यादिः	भ॒सँ ( भस् ) 	दीप्तौ 	अनिट् 	प.प 	X	771	X
